TCGAlong.id	mDNAsi
TCGA-06-AABW-11A-31D-A368-05	0.156927995
TCGA-12-5295-01A-01D-1481-05	0.245843617
TCGA-12-5299-01A-02D-1481-05	0.18153856
TCGA-12-5301-01A-01D-1481-05	0.277572559
TCGA-13-A5FT-01A-11D-A409-05	0.238611696
TCGA-13-A5FU-01A-11D-A409-05	0.198544209
TCGA-14-0736-01A-01D-A45W-05	0.256732155
TCGA-14-0736-02A-01D-2004-05	0.166022092
TCGA-14-0740-01B-01D-1844-05	0.434519311
TCGA-14-0781-01B-01D-1697-05	0.150394477
TCGA-14-0862-01B-01D-1844-05	0.169441662
TCGA-14-1034-02B-01D-2004-05	0.17073093
TCGA-14-1043-01B-11D-1844-05	0.160159696
TCGA-14-1395-01B-11D-1844-05	0.320812787
TCGA-14-1402-01A-01D-A45W-05	0.212072322
TCGA-14-1402-02A-01D-2004-05	0.215661141
TCGA-14-1450-01B-01D-1844-05	0.16785961
TCGA-15-1444-01A-02D-1697-05	0.16300604
TCGA-18-3417-01A-01D-1440-05	0.182899417
TCGA-18-3417-11A-01D-1440-05	0.116840622
TCGA-18-4721-01A-01D-1440-05	0.157376077
TCGA-18-4721-11A-01D-1440-05	0.124094561
TCGA-18-5592-01A-01D-1633-05	0.192180452
TCGA-18-5592-11A-11D-1633-05	0.125632008
TCGA-19-0957-01C-01D-A45W-05	0.266213695
TCGA-19-0957-02A-11D-2004-05	0.221596555
TCGA-19-1389-01A-01D-A45W-05	0.214976305
TCGA-19-1389-02A-21D-2004-05	0.170515477
TCGA-19-4065-01A-01D-2004-05	0.247154753
TCGA-19-4065-02A-11D-2004-05	0.197470986
TCGA-19-5947-01A-11D-1697-05	0.16346661
TCGA-19-5950-01A-11D-1697-05	0.210544704
TCGA-19-5951-01A-11D-1697-05	0.34320147
TCGA-19-5952-01A-11D-1697-05	0.213327557
TCGA-19-5953-01B-12D-1844-05	0.186427657
TCGA-19-5954-01A-11D-1697-05	0.250095189
TCGA-19-5955-01A-11D-1697-05	0.198493386
TCGA-19-5956-01A-11D-1697-05	0.251676683
TCGA-19-5958-01A-11D-1697-05	0.235200903
TCGA-19-5959-01A-11D-1697-05	0.254487167
TCGA-19-5960-01A-11D-1697-05	0.177570233
TCGA-19-A60I-01A-12D-A33U-05	0.284466148
TCGA-19-A6J4-01A-11D-A33U-05	0.130377219
TCGA-19-A6J5-01A-21D-A33U-05	0.241753953
TCGA-21-5782-01A-01D-1633-05	0.246972098
TCGA-21-5783-01A-41D-2185-05	0.176794638
TCGA-21-5784-01A-01D-1633-05	0.179164934
TCGA-21-5786-01A-01D-1633-05	0.169378035
TCGA-21-5787-01A-01D-1633-05	0.152614057
TCGA-22-4593-01A-21D-1818-05	0.265329052
TCGA-22-4599-01A-01D-1440-05	0.167797271
TCGA-22-4599-11A-01D-1440-05	0.130495072
TCGA-22-4601-01A-01D-1440-05	0.19008786
TCGA-22-4601-11A-01D-1440-05	0.127543463
TCGA-22-4605-01A-21D-2123-05	0.187447226
TCGA-22-4609-01A-21D-2123-05	0.223599054
TCGA-22-4613-01A-01D-1440-05	0.232684418
TCGA-22-4613-11A-01D-1440-05	0.121324394
TCGA-22-5471-01A-01D-1633-05	0.210870074
TCGA-22-5471-11A-01D-1633-05	0.130770703
TCGA-22-5472-01A-01D-1633-05	0.216676341
TCGA-22-5472-11A-11D-1633-05	0.134301761
TCGA-22-5473-01A-01D-1633-05	0.184638131
TCGA-22-5473-11A-11D-1633-05	0.124300241
TCGA-22-5474-01A-01D-1633-05	0.183251762
TCGA-22-5474-11A-01D-1633-05	0.140183788
TCGA-22-5477-01A-01D-1633-05	0.221799853
TCGA-22-5477-11A-11D-1633-05	0.120273786
TCGA-22-5478-01A-01D-1633-05	0.225957213
TCGA-22-5478-11A-11D-1633-05	0.124150622
TCGA-22-5479-01A-31D-1947-05	0.218862833
TCGA-22-5480-01A-01D-1633-05	0.136281917
TCGA-22-5480-11A-01D-1633-05	0.129123484
TCGA-22-5481-01A-31D-1947-05	0.185920486
TCGA-22-5482-01A-01D-1633-05	0.220578232
TCGA-22-5482-11A-01D-1633-05	0.124061938
TCGA-22-5483-01A-01D-1818-05	0.159375226
TCGA-22-5485-01A-01D-1633-05	0.233120494
TCGA-22-5485-11A-01D-1633-05	0.128079318
TCGA-22-5489-01A-01D-1633-05	0.158320375
TCGA-22-5489-11A-01D-1633-05	0.135537822
TCGA-22-5491-01A-01D-1633-05	0.236246922
TCGA-22-5491-11A-01D-1633-05	0.124756184
TCGA-22-5492-01A-01D-1633-05	0.203000519
TCGA-22-5492-11A-01D-1633-05	0.136767592
TCGA-22-A5C4-01A-12D-A27L-05	0.184180646
TCGA-26-1442-01A-01D-1697-05	0.143725896
TCGA-26-5132-01A-01D-1481-05	0.237428805
TCGA-26-5133-01A-01D-1481-05	0.277240101
TCGA-26-5134-01A-01D-1481-05	0.265867949
TCGA-26-5135-01A-01D-1481-05	0.273509646
TCGA-26-5136-01B-01D-1481-05	0.19876396
TCGA-26-5139-01A-01D-1481-05	0.236024197
TCGA-26-6173-01A-11D-1844-05	0.180754683
TCGA-26-6174-01A-21D-1844-05	0.187569507
TCGA-26-A7UX-01B-11D-A392-05	0.315770748
TCGA-28-2501-01A-01D-1697-05	0.164134841
TCGA-28-2510-01A-01D-1697-05	0.213656481
