TCGAlong.id	mRNAsi
TCGA-06-2561-01A-02R-1849-01	0.263752745
TCGA-06-2562-01A-01R-1849-01	0.228227878
TCGA-06-2563-01A-01R-1849-01	0.323780293
TCGA-06-2564-01A-01R-1849-01	0.260514777
TCGA-06-2565-01A-01R-1849-01	0.27781888
TCGA-06-2567-01A-01R-1849-01	0.312989317
TCGA-06-2569-01A-01R-1849-01	0.225761155
TCGA-06-2570-01A-01R-1849-01	0.31785248
TCGA-06-5408-01A-01R-1849-01	0.315352763
TCGA-06-5410-01A-01R-1849-01	0.224240802
TCGA-06-5411-01A-01R-1849-01	0.342628561
TCGA-06-5412-01A-01R-1849-01	0.244184789
TCGA-06-5413-01A-01R-1849-01	0.331727931
TCGA-06-5414-01A-01R-1849-01	0.28616744
TCGA-06-5415-01A-01R-1849-01	0.295522957
TCGA-06-5416-01A-01R-1849-01	0.379065775
TCGA-06-5417-01A-01R-1849-01	0.415284954
TCGA-06-5418-01A-01R-1849-01	0.253207763
TCGA-06-5856-01A-01R-1849-01	0.337855553
TCGA-06-5858-01A-01R-1849-01	0.294417913
TCGA-06-5859-01A-01R-1849-01	0.338943936
TCGA-06-AABW-11A-31R-A36H-07	0.364712858
TCGA-08-0386-01A-01R-1849-01	0.325904172
TCGA-09-0364-01A-02R-1564-13	0.501752681
TCGA-09-0366-01A-01R-1564-13	0.343110221
TCGA-09-0367-01A-01R-1564-13	0.444803775
TCGA-09-0369-01A-01R-1564-13	0.388249562
TCGA-09-1659-01B-01R-1564-13	0.408904159
TCGA-09-1662-01A-01R-1566-13	0.462159578
TCGA-09-1666-01A-01R-1566-13	0.450059995
TCGA-09-1667-01C-01R-1566-13	0.461884372
TCGA-09-1668-01B-01R-1566-13	0.383788649
TCGA-09-1669-01A-01R-1566-13	0.458884611
TCGA-09-1670-01A-01R-1566-13	0.49039605
TCGA-09-1673-01A-01R-1566-13	0.39622699
TCGA-09-1674-01A-01R-1566-13	0.472308575
TCGA-09-2044-01B-01R-1568-13	0.541416312
TCGA-09-2045-01A-01R-1568-13	0.358061755
TCGA-09-2048-01A-01R-1568-13	0.451507261
TCGA-09-2051-01A-01R-1568-13	0.512094017
TCGA-09-2054-01A-01R-1568-13	0.316840412
TCGA-10-0928-01A-02R-1564-13	0.474146485
TCGA-10-0936-01A-01R-1564-13	0.467438267
TCGA-12-0616-01A-01R-1849-01	0.360811538
TCGA-12-0618-01A-01R-1849-01	0.326286761
TCGA-12-0619-01A-01R-1849-01	0.260668092
TCGA-12-0821-01A-01R-1849-01	0.305004077
TCGA-12-1597-01B-01R-1849-01	0.340443038
TCGA-12-3650-01A-01R-1849-01	0.374260214
TCGA-12-3652-01A-01R-1849-01	0.33941037
TCGA-12-3653-01A-01R-1849-01	0.373503932
TCGA-12-5295-01A-01R-1849-01	0.370729662
TCGA-12-5299-01A-02R-1849-01	0.300636255
TCGA-13-0730-01A-01R-1564-13	0.368925332
TCGA-13-0799-01A-01R-1564-13	0.608954446
TCGA-13-0800-01A-01R-1564-13	0.456685393
TCGA-13-0801-01A-01R-1564-13	0.529017714
TCGA-13-0890-01A-01R-1564-13	0.364122129
TCGA-13-0893-01B-01R-1565-13	0.469915787
TCGA-13-0897-01A-01R-1564-13	0.413506633
TCGA-13-0899-01A-01R-1564-13	0.379943941
TCGA-13-0913-01A-01R-1564-13	0.466753459
