Model	merge	GSE53622	GSE53624	TCGA	All
Enet[α=0.8]	0.653871421867668	0.702187720536344	0.632259147364888	0.68389662027833	0.668053727511807
Enet[α=0.9]	0.651102768653214	0.698659139026112	0.628902316213494	0.685884691848907	0.666137228935432
StepCox[both]	0.616799624589395	0.748059280169372	0.563779791876469	0.646123260437376	0.643690489268153
StepCox[backward]	0.616799624589395	0.748059280169372	0.563779791876469	0.646123260437376	0.643690489268153
StepCox[forward]	0.635523228531206	0.769230769230769	0.589627391742195	0.639165009940358	0.658386599861132
StepCox[both] + CoxBoost	0.624777099953074	0.749470712773465	0.571500503524673	0.653081510934394	0.649707456796401
StepCox[both] + Enet[α=0.1]	0.629516658845612	0.753705010585745	0.580731789191004	0.656063618290258	0.655004269228155
StepCox[both] + Enet[α=0.2]	0.627358047864852	0.753705010585745	0.575360859348775	0.656063618290258	0.653121884022407
StepCox[both] + Enet[α=0.3]	0.627123416236509	0.754410726887791	0.575193017791205	0.656063618290258	0.653197694801441
StepCox[both] + Enet[α=0.4]	0.62491787893008	0.752293577981651	0.573514602215509	0.65506958250497	0.651448910408052
StepCox[both] + Enet[α=0.5]	0.624354763022055	0.748059280169372	0.572171869754951	0.652087475149105	0.649168347023871
StepCox[both] + Enet[α=0.6]	0.623650868137025	0.748059280169372	0.571332661967103	0.651093439363817	0.648534062409329
StepCox[both] + Enet[α=0.7]	0.62275926794932	0.748764996471418	0.569989929506546	0.649105367793241	0.647654890430131
StepCox[both] + Enet[α=0.8]	0.622712341623651	0.748764996471418	0.569486404833837	0.650099403578529	0.647765786626859
StepCox[both] + Enet[α=0.9]	0.621961520412952	0.748764996471418	0.568982880161128	0.650099403578529	0.647452200156007
StepCox[both] + GBM	0.669169404035664	0.750176429075512	0.648875461564283	0.650099403578529	0.679580174563497
StepCox[both] + Lasso	0.62167996245894	0.750176429075512	0.567640147700571	0.647117296222664	0.646653458864421
StepCox[both] + plsRcox	0.619333646175504	0.750882145377558	0.565626049009735	0.644135188866799	0.644994257357399
StepCox[both] + Ridge	0.626419521351478	0.751587861679605	0.575193017791205	0.652087475149105	0.651321968992848
StepCox[both] + RSF	0.698686062881276	0.875088214537756	0.633769721383014	0.6779324055666	0.721369101092162
StepCox[both] + SuperPC	0.675879868606288	0.671841919548342	0.672205438066465	0.672962226640159	0.673222363215313
StepCox[both] + survival-SVM	0.667010793054904	0.681016231474947	0.678079892581403	0.629224652087475	0.663832892299682
StepCox[backward] + CoxBoost	0.624777099953074	0.749470712773465	0.571500503524673	0.653081510934394	0.649707456796401
StepCox[backward] + Enet[α=0.1]	0.629516658845612	0.753705010585745	0.580731789191004	0.656063618290258	0.655004269228155
StepCox[backward] + Enet[α=0.2]	0.627358047864852	0.753705010585745	0.575360859348775	0.656063618290258	0.653121884022407
StepCox[backward] + Enet[α=0.3]	0.627123416236509	0.754410726887791	0.575193017791205	0.656063618290258	0.653197694801441
StepCox[backward] + Enet[α=0.4]	0.62491787893008	0.752293577981651	0.573514602215509	0.65506958250497	0.651448910408052
StepCox[backward] + Enet[α=0.5]	0.624354763022055	0.748059280169372	0.572171869754951	0.652087475149105	0.649168347023871
StepCox[backward] + Enet[α=0.6]	0.623650868137025	0.748059280169372	0.571332661967103	0.651093439363817	0.648534062409329
StepCox[backward] + Enet[α=0.7]	0.62275926794932	0.748764996471418	0.569989929506546	0.649105367793241	0.647654890430131
StepCox[backward] + Enet[α=0.8]	0.622712341623651	0.748764996471418	0.569486404833837	0.650099403578529	0.647765786626859
StepCox[backward] + Enet[α=0.9]	0.621961520412952	0.748764996471418	0.568982880161128	0.650099403578529	0.647452200156007
